2024-08-22 21:40:55,741 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Mapper 'Mapper[User(users)]' has no property 'tasks_completed'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-08-22 21:40:56,904 | ERROR | handlers.py -> cmd_start():490 | Error command /start: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[TaskCompletion(task_completions)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'tasks_completed'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-08-22 21:45:18,839 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Mapper 'Mapper[User(users)]' has no property 'tasks_completed'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-08-22 21:45:19,704 | ERROR | handlers.py -> cmd_start():490 | Error command /start: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[TaskCompletion(task_completions)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'tasks_completed'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2024-08-22 21:47:18,557 | ERROR | handlers.py -> cmd_start():490 | Error command /start: set_user() takes 2 positional arguments but 3 were given
2024-08-22 21:47:19,535 | ERROR | handlers.py -> cmd_start():490 | Error command /start: set_user() takes 2 positional arguments but 3 were given
2024-08-22 21:48:01,151 | ERROR | handlers.py -> cmd_start():490 | Error command /start: set_user() takes 2 positional arguments but 3 were given
2024-08-22 21:48:01,922 | ERROR | handlers.py -> cmd_start():490 | Error command /start: set_user() takes 2 positional arguments but 3 were given
2024-08-22 21:49:38,349 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Telegram server says - Bad Request: chat not found
2024-08-22 21:49:44,973 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Telegram server says - Bad Request: chat not found
2024-08-22 21:49:45,709 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Telegram server says - Bad Request: chat not found
2024-08-22 21:50:01,026 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Telegram server says - Bad Request: chat not found
2024-08-22 21:52:50,136 | ERROR | handlers.py -> cmd_start():490 | Error command /start: Telegram server says - Bad Request: chat not found
2024-08-22 22:46:49,806 | ERROR | handlers.py -> cmd_start():61 | Error command /start: Telegram server says - Bad Request: chat not found
